text_id,text_en,label
pelanggaran tilang elektronik di kendari didominasi pengendara yang terobos lampu lalu lintas lewat,Electronic ticketing violations in Kendari are dominated by motorists who break through traffic lights passing by,0
"giat pemantauan arus lalu lintas kota pekanbaru melalui cctv rtmc , etle dan si talam manis presisi , di ruangan rtmc ditlantas polda riau . kamis malam","Enthusiastic monitoring of the traffic flow of Pekanbaru City through CCTV RTMC, Etle and Si Sweet Precision Talam, in the RTMC Room Ditlantas Riau Regional Police. Thursday night",1
"soal peniadaan tilang manual , korlantas siap maksimalkan peranetle","About the elimination of manual tickets, the Korlantas is ready to maximize the Peraniet",1
anggota komisi iii dpr andi rio mendukung keputusan kapolri dalam menghapus tilang manual dan menggantikannya dengan tilang elektronik .,DPR Commission III member Andi Rio supports the National Police Chief's decision in removing manual tickets and replacing him with electronic tickets.,0
polres di purwakasi seragam tak punya etle,Polres in Purwakasi uniforms do not have ETLE,0
"penerapan etle di kaltim , ditlantas perlu dukungan dari pemda","The application of ETLE in East Kalimantan, Ditlantas needs support from the Regional Government",0
etle mobile tangkap pemotor tanpa helm hingga pelanggar gage di dki,ETLE Mobile Captures Motorbikes Without Helmets to Gage Violators in DKI,0
polrestabes bandung segera berlakukan tilang elektronik berbasis handphone,Polrestabes Bandung Soon Applying Mobile Based Electronic Tickets,0
semenjak etilang ini diberlakukan makin banyak orang melanggar lalu lintas karena polisi ga boleh lagi nilang di jalan . parahnya mereka menutupi plat nomor mereka atau bahkan melepasnya . emang negara ini udah sakit dari bawahnya .,"Since this ethilang, more and more people have violated traffic because the police could no longer turn on the road. Worse they cover their number plates or even release them. This country is already sick from below.",-1
"daripada kena etilang , mending kena banjir","Instead of getting eternal, it's better to get flooded",1
wah iki lumayan gae nambahi pemasukan pajek nek dipasang i etle arah,wow iki is pretty good to add to the income of pajek nek installed i etle direction,1
sedih jd bgt skrng udh pake etilang udh gabisa ngemis lagi ke pakpol wkwk . dulu mah gw triceng apakek inikek selalu deh ngemis biar ga ke tilang ya paling gede jg gocap sih wkwk huft sialan nih,"sad so now I have used ethilang, I can't beg again to the pakpol wkwk. In the past, I was just like this, I always knew it so I didn't go to the ticket, the biggest was the bigge",-1
"tiadakan tilang manual , ditlantas polda maluku pasang kamera etle di titiktitik rawan laka lantas di kotaambon","Holding a manual ticket, Ditlantas Maluku Regional Police Install Etle Camera at the point of prone to Laka Lantas in Kotaambon",0
"etle diterapkan penuh , tak ada lagi polisi yang pegang buku tilang , catat","Etle is fully applied, no more police officers hold a ticket book, note",-1
"sepekan pemberlakuan etle mobile handheld , polisi catat pelanggar di padang","A week of implementing Ethle Mobile Handheld, the police noted violators in Padang",0
"itu biar compatible , dgn sistem tilang elektroniketle","that is to compatible, with an electronic ticket system",0
"hmm . jadi ini lho instruksi tilang terbarunya hal tersebut tertulis dalam surat telegram yang udah ditandatangani pihak polri . untuk mengedepankan penindakan tilang elektronik baik statis maupun mobile . nah , gimana tanggapanmu soal larangan tilang ini source","Hmm. So this is the latest ticket instruction, it is written in a telegram letter that has been signed by the National Police. To prioritize electronic ticketing enforcement both static and mobile. Well, how about your response about the ban on this ticket source",1
kok gak kena etilang ya,how come I don't get eternal,0
"min , izin bertanya saya kan kena etilang , disuratnya tgl desember , harus konfirmasi paling telat tgl desember , tapi saya dapat suratnya hari ini , terus mau konfirmasi lewat web juga ga berhasil . jd saya harus gimana ini","Min, my permission to ask me was hit by Eternilang, he wrote on December, I had to confirm the most late December, but I got the letter today, and I wanted to confirm via the web. So what should I do this",1
imigrasi imbau masyarakat yang sewakan kendaraan ke wna berhatihati kantor imigrasi kelas i khusus tpi batam bersama polda kepulauan riau lakukan integrasi data etilang dengan sistem manajemen informasi keimigrasian simkim,Immigration urges the people who rented vehicles to the foreigners of the Class I Class I Immigration Office for TPI Batam together with the Riau Islands Regional Police to integrate Etilang Data with the Immigration Information Management System Simkim,0
