text_id;text_en;label
kembang etle polda harga rakernis fungsi gakkum;kembang etle polda price rakernis gakkum function;0
sosialisasi etle app smart city;etle app smart city socialization;1
berita populer kumparanoto selasa detail vespa batik harga rp juta cara kerja jenis langgar tilang etle mobile;popular news kumparanoto tuesday vespa batik details price rp;1
mimin kasih info gaes mau uji coba etle wilayah tangerang kota nih yukss patuh atur lalu lintas biar ngga dapet surat cinta mimin;mimin gives info gaes want to test the ethle of tangerang city, yukss, obedient traffic so that you don't get a love letter mimin;1
personil lalu lintas polres badung laksana tegur humanis masyarakat tidak guna helm;badung police traffic personnel like the humanist swirk unfamiliarist;0
komisioner kompolnas sambut baik apresiasi bijak kapolri kait etle;commissioner kompolnas welcomes the wise appreciation of the national police chief kait etle;1
jumlah dakgar lantas lama x jam tercapture kamera etle;the amount of dakgar then long x hour is captured by the etle camera;-1
polda metro jaya deteksi kendara tak milik sim lewatetle;polda metro jaya detection of kendara not owned by sim passle;0
saya etilang jadi trobosan baru harus segera terap itu etilang juga sangat efektif tertib kendara motor mobil harus tindak ambil kunci jalan moga jadi solusi pak;i am a lilang so a new breakthrough must be absorbed immediately, it is also very effective in an orderly order of the car motorbike to take the key to the way to be a solution, sir;1
jenis langgar bakal kena tilangelektronik;the type of langgar will be subject to telepectronics;-1
sangat positif era etilang;very positive era ethilang;1
apel pagi polresta serang kota waka satlantas polresta serang kota iptu ade komarudin s h pimpin laksana apel pagi ikan informasi kait ada tilang elektronik wilayah kota serang kamis desember;apple morning polresta serang city waka satlantas serang police iptu city ade komarudin s head laksan morning apel fish information hooks there is an electronic ticket area of ​​serang city thursday december december;0
dpp lippi dukung laku tilang elektronik etle bagipengendara;dpp lippi supports electronic ticket etle for driving;0
polda metro jaya sebut etle mobile tilang langgar tiap hari;polda metro jaya call ethle mobile ticket langgar every day;0
data gar lantqs tercapture kamera etle mobile handheld;data gar lamms is captured by etle mobile handheld cameras;0
warga probolinggo copot pelat hindar etle polri pakai face recognition;residents of probolinggo copot hindar etle polri plates using face recognition;0
sosialisasi etle aplikasi smart city banyuasin dolor kito sama camat se banyuasin;etle socialization of smart city applications banyuasin dolor kito and sub -district head of banyuasin;1
tahap sosialisasi tiang kamera etle bangun panjang jalur utama denpasargilimanuk;the socialization stage of the ethle camera pole of the main line of the main line of denpasargilimanuk;1
polda metro jaya ribu lebih kendara kena tilang etle januarioktober;polda metro jaya thousand more vehicles hit by the etle januaryoktober ticket;1
etle mobile sisir jalan jakarta siap tindak langgar lalulintas;etle mobile comb road jakarta ready to acting traffic;1
giat layan sim etle sat lantas polres tara;enterprising sim etle sat lantas tara polres;0
