origin_text_id;text_id;origin_text_en;text_en;label_vader
kembangkan etle , 7 polda dapat penghargaan di rakernis fungsi gakkum;kembang etle polda dapat harga di rakernis fungsi gakkum;develop etle , 7 regional police won awards at the Gakum function meeting;develop etl region polic award gakum function meet;1
sosialisasi etle dan app smart city;sosialisasi etle dan app smart city;etle socialization and smart city app;etl social smart citi app;1
berita populer kumparanoto , selasa 1312 detail vespa batik seharga rp 77 juta , cara kerja dan jenis pelanggaran tilang etle mobile .;berita populer kumparanoto selasa detail vespa batik harga rp juta cara kerja dan jenis langgar tilang etle mobile;Kupang Popular News, Tuesday 1312 details Vespa batik worth IDR 77 million, how it works and types of Etle Mobile ticket violations.;kupang popular news tuesday detail vespa batik worth idr million work type etl mobil ticket violat;1
mimin kasih info ya gaes , kita mau uji coba etle di wilayah tangerang kota nih . yukss patuhi peraturan lalu lintas , biar ngga dapet surat cinta dari mimin;mimin kasih info ya gaes kita mau uji coba etle di wilayah tangerang kota nih yukss patuh atur lalu lintas biar ngga dapet surat cinta dari mimin;Mimin, give me some info, guys, we want to try out Etle in the Tangerang city area. let's obey the traffic rules, so you don't get a love letter from Mimin;mimin give info guy want tri etl tangerang citi area let obey traffic rule get love letter mimin;-1
personil lalu lintas polres badung melaksanakan teguran secara humanis kepada masyarakat yang tidak mempergunakan helm . .;personil lalu lintas polres badung laksana tegur cara humanis kepada masyarakat yang tidak guna helm;Badung Police traffic personnel carry out a humane warning to people who do not use helmets. .;badung polic traffic personnel carri human warn peopl use helmet;-1
komisioner kompolnas sambut baik dan apresiasi kebijakan kapolri terkait etle;komisioner kompolnas sambut baik dan apresiasi bijak kapolri kait etle;Kompolnas Commissioner welcomes and appreciates the policy of the Chief of Police regarding etle;kompolna commission welcom appreci polici chief polic regard etl;1
jumlah dakgar lantas selama 1x24 jam yang tercapture kamera etle;jumlah dakgar lantas lama x jam yang tercapture kamera etle;the number of direct recordings for 1x24 hours captured by etle cameras;number direct record x hour captur etl camera;1
polda metro jaya akan deteksi pengendara tak miliki sim lewatetle;polda metro jaya akan deteksi kendara tak milik sim lewatetle;Polda Metro Jaya will detect motorists who don't have a vialetle sim;polda metro jaya detect motorist vialetl sim;0
menurut saya etilang ini menjadi trobosan baru yang harus segera diterapkan . selain itu etilang ini juga sangat efektif untuk menertibkan para pengendara motor dan mobil tanpa harus ada tindakan ambil kunci dijalanan . semoga bisa menjadi solusi ya pak;turut saya etilang ini jadi trobosan baru yang harus segera terap selain itu etilang ini juga sangat efektif untuk tertib para kendara motor dan mobil tanpa harus ada tindak ambil kunci jalan moga bisa jadi solusi ya pak;I think this etilang is a new breakthrough that must be implemented immediately. Apart from that, this etilang is also very effective in controlling motorists and cars without having to take locks on the streets. I hope it can be a solution, sir;think etilang new breakthrough must implement immedi apart etilang also effect control motorist car without take lock street hope solut sir;1
jenis pelanggaran yang bakal kena tilangelektronik;jenis langgar yang bakal kena tilangelektronik;types of violations that will be fined electronically;type violat fine electron;-1
sangat positif di era etilang;sangat positif di era etilang;very positive in the era of etilang;posit era etilang;1
apel pagi polresta serang kota waka satlantas polresta serang kota iptu ade komarudin s . h pimpin pelaksanaan apel pagi berikan informasi terkait adanya tilang elektronik wilayah kota serang , pada kamis 15 desember 2022 .;apel pagi polresta serang kota waka satlantas polresta serang kota iptu ade komarudin s h pimpin laksana apel pagi ikan informasi kait ada tilang elektronik wilayah kota serang pada kamis desember;Morning call Polresta Serang Kota Waka Satlantas Polresta Serang Iptu City Ade Komaruddin S. h lead the implementation of the morning meeting to provide information regarding the existence of an electronic ticket for the city of Serang, on Thursday 15 December 2022.;morn call polresta serang kota waka satlanta polresta serang iptu citi ade komaruddin h lead implement morn meet provid inform regard exist electron ticket citi serang thursday decemb;0
dpp lippi dukung pemberlakuan tilang elektronik atau etle bagipengendara;dpp lippi dukung laku tilang elektronik atau etle bagipengendara;Lippi DPP supports the implementation of electronic or etle tickets for motorists;lippi dpp support implement electron etl ticket motorist;1
polda metro jaya sebut etle mobile tilang 250 pelanggar tiap hari;polda metro jaya sebut etle mobile tilang langgar tiap hari;Polda Metro Jaya calls Etle Mobile fines 250 violators every day;polda metro jaya call etl mobil fine violat everi day;-1
data gar lantqs yang tercapture kamera etle mobile handheld;data gar lantqs yang tercapture kamera etle mobile handheld;gar lantqs data captured by the etle mobile handheld camera;gar lantq data captur etl mobil handheld camera;0
warga probolinggo copot pelat hindari etle , polri akan pakai face recognition;warga probolinggo copot pelat hindar etle polri akan pakai face recognition;Probolinggo residents take off their plates to avoid Etle, the National Police will use face recognition;probolinggo resid take plate avoid etl nation polic use face recognit;-1
sosialisasi etle dan aplikasi smart city banyuasin dolor kito , bersama dengan camat se banyuasin;sosialisasi etle dan aplikasi smart city banyuasin dolor kito sama dengan camat se banyuasin;etle socialization and banyuasin smart city application dolor kito, together with sub-district heads in Banyuasin;etl social banyuasin smart citi applic dolor kito togeth sub district head banyuasin;1
tahap sosialisasi , 3 tiang kamera etle dibangun di sepanjang jalur utama denpasargilimanuk;tahap sosialisasi tiang kamera etle bangun di panjang jalur utama denpasargilimanuk;socialization stage, 3 etle camera poles were built along the main route of denpasargilimanuk;social stage etl camera pole built along main rout denpasargilimanuk;0
polda metro jaya 100 ribu lebih pengendara kena tilang etle januarioktober;polda metro jaya ribu lebih kendara kena tilang etle januarioktober;Polda Metro Jaya more than 100,000 drivers will be fined until January, October;polda metro jaya driver fine januari octob;0
11 etle mobile sisir jalanan jakarta , siap tindak pelanggar lalulintas;etle mobile sisir jalan jakarta siap tindak langgar lalulintas;11 Etle Mobile combs the streets of Jakarta, ready to take action against traffic violators;etl mobil comb street jakarta readi take action traffic violat;-1
giat pelayanan sim dan etle sat lantas polres tarakan;giat layan sim dan etle sat lantas polres tara;active sim and etle sat services then the Tarakan police;activ sim etl sat servic tarakan polic;1
giat sisialisasi etle di balai kecamatan muaradua kisam;giat sisialisasi etle di balai camat muaradua kisam;actively socialize etle at the muaradua kisam sub-district hall;activ social etl muaradua kisam sub district hall;1
komika kedelapan korban tilang elektronik , giawan .;komika delap korban tilang elektronik giawan;the eighth comic victim of an electronic ticket, Giawan.;eighth comic victim electron ticket giawan;-1
kecamatan astanajapura hingga ciledug cirebon diusulkan dipasang kamera etilang;camat astanajapura hingga ciledug cirebon usul pasang kamera etilang;From Astanajapura sub-district to Ciledug, Cirebon, it is proposed to install etilang cameras;astanajapura sub district ciledug cirebon propos instal etilang camera;0
jalankan intruksi kapolri , dirlantas tarik seluruh surat tilang dan maksimalkan etlemobile;jalan intruksi kapolri dirlantas tarik seluruh surat tilang dan maksimal etlemobile;carry out the instructions of the chief of police, immediately withdraw all ticket tickets and maximize etlemobile;carri instruct chief polic immedi withdraw ticket ticket maxim etlemobil;0
beralih ke sistem etle , satlantas polrestabes makassar hentikan sistem tilangmanual;alih ke sistem etle satlantas polrestabes makassar henti sistem tilangmanual;switch to the etle system, Makassar Polrestabes traffic stop the manual ticketing system;switch etl system makassar polrestab traffic stop manual ticket system;-1
etle mobile ini memberikan jaminan kepada masyarakat , untuk dapat kepastian hukum yang adil dan tidak pandang bulu di jalan raya , ujar kapolda .;etle mobile ini beri jamin kepada masyarakat untuk dapat pasti hukum yang adil dan tidak pandang bulu di jalan raya ujar kapolda;etle mobile provides guarantees to the public, to get legal certainty that is fair and indiscriminate on the roads, said the regional police chief.;etl mobil provid guarante public get legal certainti fair indiscrimin road said region polic chief;1
operasi zebra tahun ini dilarang melaksanakan tilang manual , seluruh penilangan dilaksanakan dengan sistem etle statis maupun mobile dan dengan teguran simpatik . kata kasubbag ren ops bagops korlantas polri .;operasi zebra tahun ini larang laksana tilang manual seluruh tilang laksana dengan sistem etle statis maupun mobile dan dengan tegur simpatik kata kasubbag ren ops bagops korlantas polri;This year's zebra operations are prohibited from carrying out manual ticketing, all ticketing is carried out using a static or mobile etle system and with a sympathetic warning. said the head of subdivision ren ops bagops Korlantas Polri.;year zebra oper prohibit carri manual ticket ticket carri use static mobil etl system sympathet warn said head subdivis ren op bagop korlanta polri;1
tilang manual dilarang , polisi bakal manfaatkan ratusan kamera etle;tilang manual larang polisi bakal manfaat ratus kamera etle;manual fines are prohibited, the police will use hundreds of etle cameras;manual fine prohibit polic use hundr etl camera;0
gmn caranya etle menangkap pelanggaran ganjil genap;gmn cara etle tangkap langgar ganjil genap;how does etle catch odd even violations;etl catch odd even violat;-1
